ChangeTime,StartingLength,ChangeLength
324,92,23
457,103,60
428,98,54
428,147,29
426,100,61
82,152,20
82,91,25
82,99,32
420,95,51
67,108,12
397,91,43
68,87,17
376,92,36
292,109,14
376,118,32
376,116,35
397,102,47
286,108,12
361,98,37
361,97,31
376,113,31
735,104,52
683,103,44
397,105,42
12,103,3
377,90,42
805,100,69
280,111,6
385,108,39
274,105,8
364,122,15
364,108,24
385,120,39
385,159,15
281,117,11
281,112,9
671,177,15
281,120,21
365,112,28
373,139,24
224,158,1
1,126,1
226,121,2
224,139,1
106,114,28
491,185,6
112,131,36
7,185,0
444,113,42
70,125,12
498,130,45
105,116,31
105,129,21
1,186,0
84,123,11
105,125,12
105,113,30
1,142,0
104,133,18
99,109,22
134,130,23
84,135,15
98,123,26
79,130,17
68,134,10
396,134,29
78,140,12
104,120,23
98,132,25
104,150,8
78,161,5
133,155,12
459,124,46
98,136,19
98,123,28
98,128,22
1,130,0
321,161,7
14,110,7
14,100,8
55,161,8
55,119,7
19,143,6
20,119,5
20,126,1
20,112,9
414,139,32
414,133,25
359,135,17
359,131,12
21,142,4
21,136,4
307,124,6
17,175,2
414,121,40
21,141,6
77,142,12
21,137,9
20,156,10
20,141,6
20,152,5
20,148,8
20,133,5
358,136,13
36,150,7
399,119,30
362,131,24
35,162,2
35,149,2
35,149,3
35,124,3
35,146,5
361,126,29
385,115,39
35,145,4
35,152,4
20,123,4
342,144,16
4,157,2
54,139,5
29,122,3
292,151,3
29,183,0
29,145,3
107,162,15
52,152,10
63,152,19
55,143,12
46,162,8
82,159,18
55,104,14
42,113,15
42,149,8
38,154,5
27,158,1
2,112,1
27,169,1
7,176,1
1,158,0
7,142,0
29,171,1
10,176,1
19,162,7
375,128,28
2,170,1
375,163,19
1,129,0
337,157,11
319,161,16
16,172,3
64,164,14
1,128,0
41,108,14
43,179,5
50,180,12
21,126,1
70,109,15
